The Brooklyn Hospital Center,,,
Charge Master Pricing,,,
,,,
The charges listed are generally not the amount a patient will pay.,,,
,,,
Charge No,Charge Description, Standard Charges ,Comment
38001534,VARICELLA VAC INJ 0.5 ML, 359.18 ,
38001535,VECURONIUM INJ 10 MG, 15.60 ,
38001536,VENLAFAXINE TAB 25 MG, 6.01 ,
38001537,VENLAFAXINE TAB 37.5 MG, 5.00 ,
38001538,VENLAFAXINE TAB 37.5 MG SR, 30.29 ,
38001540,VENLAFAXINE TAB 75 MG, 5.46 ,
38001541,VENLAFAXINE TAB 75MG SR, 11.67 ,
38001543,VERAPAMIL SR TAB 120 MG, 3.20 ,
38001544,VERAPAMIL SR TAB 180 MG, 3.00 ,
38001545,VERAPAMIL SR TAB 240 MG, 4.09 ,
38001546,VERAPAMIL TAB 120 MG, 1.25 ,
38001550,VINCRISTINE IV SYR 1 MG, 17.25 ,
38001551,VITAMIN A & D OINT 5 GRAM, 0.66 ,
38001556,VORICONAZOLE 50MG TAB *R*, 72.20 ,
38001557,VORICONAZOLE INJ 200MG/10ML *, 447.57 ,
38001559,VORICONAZOLE TAB *R*  200MG, 288.79 ,
38001560,WARFARIN 3MG TAB, 6.69 ,
38001561,WARFARIN 4MG TAB, 6.70 ,
38001562,WARFARIN TAB 1 MG, 6.19 ,
38001563,WARFARIN TAB 10 MG, 9.60 ,
38001564,WARFARIN TAB 2 MG, 6.45 ,
38001565,WARFARIN TAB 2.5 MG, 6.66 ,
38001566,WARFARIN TAB 7.5 MG, 9.25 ,
38001567,WITCH HAZEL PADS, 0.23 ,
38001571,ZIDOVUDINE CAP 100 MG, 7.04 ,
38001572,ZIDOVUDINE INJ 10 MG/ML 20 ML, 76.20 ,
38001573,ZIDOVUDINE SYRP 50 MG/5 ML, 2.95 ,
38001575,ZINC OXIDE OINT 20% 30 GRAM, 8.55 ,
38001576,ZINC OXIDE-COD LIVER OIL-VIT A, 10.80 ,
38001578,ZIPRASIDONE 20MG CAP, 4.00 ,
38001579,ZIPRASIDONE 40MG CAP, 22.41 ,
38001581,ZOLEDRONIC ACID INJ **NF** 1MG, 141.75 ,
38001582,ZOLPIDEM TARTRATE 5 MG TAB, 0.26 ,
38001583,ZONISAMIDE CAP 100MG *NF*, 5.49 ,
38001586,METHOTREXATE 1GM INJ, 131.10 ,
38001587,METHOTREXATE 50 MG INJ, 11.75 ,
38001589,PACLITAXEL INJ 100 MG/17 ML, 76.45 ,
38001592,TRASTUZUMAB 10MG INJ, 311.68 ,
38001597,ANASTROZOLE **NF** 1MG TAB (AR, 43.40 ,
38001599,BEVACIZUMAB 10MG INJ, 239.15 ,
38001600,BICALUTAMIDE TAB 50 MG (CASODE, 46.33 ,
38001601,BORTEZOMIB INJ 3.5 MG ," 4,755.00 ",
38001602,BORTEZOMIB INJ 0.1 MG *NF*, 130.00 ,
38001604,CAPECITABINE *NF* TAB 150 MG , 37.66 ,
38001605,CAPECITABINE *NF* TAB 500 MG, 119.81 ,
38001607,CARBOPLATIN INJ 50 MG, 28.61 ,
38001616,DOCETAXEL INJ 20 MG, 206.25 ,
38001619,DOXORUBICIN INJ 50 MG/25 ML, 166.50 ,
38001624,ETOPOSIDE INJ 500 MG, 186.45 ,
38001625,ETOPOSIDE INJ PER 10MG, 28.10 ,
38001626,EXEMESTANE 25MG TAB  *NF* (ARO, 91.96 ,
38001630,IMATINIB *NF* 100 MG TAB (GLEE, 280.92 ,
38001631,INFLIXIMAB (REMICADE) PER 10MG, 323.80 ,
38001633,LEUCOVORIN CALCIUM TAB 5 MG, 5.12 ,
38001638,MERCAPTOPURINE TAB 50 MG, 21.60 ,
38001640,OXALIPLATIN INJ 0.5 MG, 4.14 ,
38001643,ACYCLOVIR  5MG/ML INJ *NEON*, 116.10 ,
38001647,AMITRIPTYLINE TAB 25 MG, 1.59 ,
38001648,AMITRIPTYLINE TAB 75 MG, 4.75 ,
38001651,AMPICILLIN IVPB 2 GRAM, 33.00 ,
38001658,CALCIUM CHLORIDE AB-JET 1 GM/1, 12.00 ,
38001661,CEFOXITIN IVPB 1 GM, 18.00 ,
38001662,CEFTAZIDIME *R*  1 GM, 26.23 ,
38001665,DEXAMETH SOD PHOSPHATE INJ 1MG, 2.25 ,
38001666,DEXTROSE 5% 50 ML, 6.50 ,
38001667,DEXTROSE 50% 50 ML, 7.75 ,
38001668,DIGOXIN TAB 250 MCG, 1.92 ,
38001669,DIPHENHYDRAMINE CAP 50 MG, 0.34 ,
38001672,DOBUTAMINE INJ 12.5 MG/ML 20 ML, 22.50 ,
38001674,DOXEPIN CAP 25 MG, 2.06 ,
38001675,DOXYCYCLINE 100 MG  INJ, 72.48 ,
38001676,EPINEPHRINE INJ 1 MG/ML AMPS, 45.02 ,
38001679,ERYTHROMYCIN EC TAB 500 MG, 2.95 ,
38001684,FERROUS SULFATE TAB 325 MG, 0.17 ,
38001687,GRISEOFULVIN SUSP 125 MG/5 ML, 4.34 ,
38001689,HEPARIN INJ 1000 UNITS/ML 10 M, 1.08 ,
38001690,HYDRALAZINE TAB 50 MG, 1.41 ,
38001691,HYDROCORT SOD IVPB 50MG/ML, 2.36 ,
38001692,HYDROCORTISONE SUP 25 MG, 135.15 ,
38001693,IBUPROFEN TAB 400 MG, 0.19 ,
38001694,IBUPROFEN TAB 600 MG, 0.76 ,
38001701,FLU VAC PRESERVE FREE 3YRS & >, 53.29 ,
38001706,INSULIN R HUMAN INJ 100 UNITSM, 12.65 ,
38001717,ISOSORBIDE DINITRATE TAB 10 MG, 2.71 ,
38001718,ISOSORBIDE DINITRATE TAB 5 MG, 2.46 ,
38001720,LABETALOL 5MG/1ML 4ML PREFILLE, 20.25 ,
38001724,LEUCOVORIN CALCIUM INJ 350 MG, 52.17 ,
38001725,LEUCOVORIN IV PER 50MG, 29.95 ,
38001727,LEUPROLIDE DEPOT INJ 3.75 MG *," 5,397.25 ",
38001730,LORAZEPAM INJ 2 MG/ML 1 ML VIA, 3.21 ,
38001734,MANNITOL INJ 25% 50 ML, 2.60 ,
38001738,METHOTREXATE INJ 25 MG/ML 2 ML, 12.00 ,
38001739,METHOTREXATE INJ 25 MG/ML 4 ML, 23.56 ,
38001742,METHYLPREDNISOLONE TAB 4MG, 33.29 ,
38001744,MULTIVITAMIN-MINERALS THERAPEU, 0.12 ,
38001745,MULTIVITAMINS ADULT INJ 10 ML, 39.34 ,
38001747,MULTIVITAMINS SOLN 5 ML UD, 0.28 ,
38001748,NAFCILLIN SOD INJ 1000 MG, 36.50 ,
38001750,NITROFURANTOIN CAP 50 MG, 5.36 ,
38001755,PEN V POTASSIUM TAB 250 MG, 1.72 ,
38001756,"PENICILLIN G SOD 50,000 UNITS/", 144.00 ,
38001758,PHENYLEPHRINE NASAL SOLN 0.25%, 9.49 ,
38001759,PHENYLEPHRINE NASAL SOLN 0.5%, 9.49 ,
38001760,PHENYLEPHRINE NASAL SOLN 1% 15, 10.69 ,
38001763,PHENYTOIN INJ 50 MG/ML 2 ML, 6.60 ,
38001766,POLYMYXIN B SULFATE INJ 500 KU, 35.45 ,
38001767,POTASSIUM 20MEQ POW, 14.49 ,
38001768,PREDNISONE TAB 10 MG, 0.67 ,
38001769,PREDNISONE TAB 5 MG, 0.62 ,
38001770,PROCHLORPERAZINE MALEATE TAB 5, 1.49 ,
38001771,PROMETHAZINE ELIX 6.25 MG/5ML, 0.78 ,
38001775,SENNA TAB, 0.09 ,
38001776,SOD POLYSTYRENE SULF SUSP 15 G, 28.20 ,
38001778,SODIUM ACETATE INJ 2 MEQ/ML 10, 9.45 ,
38001779,SODIUM BICARB INJ 1 MEQ/ML 50, 31.63 ,
38001782,SODIUM CHLORIDE INJ 23.4% 30 ML, 16.47 ,
38001786,STERILE WATER FOR IRRIG 1L, 7.50 ,
38001788,SULFAMETH-TRIMETHOPRIM DS TAB, 3.50 ,
38001790,THEOPHYLLINE CR TAB 300 MG, 10.74 ,
38001791,THEOPHYLLINE SOLN 80 MG/15 ML, 7.24 ,
38001794,TIMOLOL 0.25%  OPHT SOL, 37.50 ,
38001795,TIMOLOL OPHT SOLN 0.5% 5 ML, 42.50 ,
38001796,TOBRAMYCIN *R* INJ 80 MG, 5.94 ,
38001798,TRIAMCINOLONE ACE 40MG/ML 1ML, 26.69 ,
38001799,TRIHEXYPHENIDYL TAB 2 MG, 0.46 ,
38001800,VASOPRESSIN INJ 20 UNITS/ML, 501.74 ,
38001802,TORSEMIDE *NF* 20MG TAB, 1.94 ,
38001804,IV DEXTRAN  70% D5W, 50.00 ,
38001807,METOCLOPRAMIDE 10MG IV, 3.17 ,
38001808,VINBLASTINE 1MG INJ, 2.60 ,
38002001,CETUXIMAB PER 10MG INJ, 182.25 ,
38002002,PEMETREXED INJ PER 10MG, 203.25 ,
38002003,EPIRUBICIN HCI PER 2MG, 6.05 ,
38002005,ALFA (ARANESP)ERSD PER 1MCG, 23.25 ,
38002013,ABACAVIR/LAMUVID/ZIDOV (TRIZIV, 67.02 ,
38002014,ABACAVIR/LAMUVID TAB (EPZICOM), 116.25 ,
38002018,ACETYLCYSTEINE 100MG/ML 30ML, 28.73 ,
38002019,ACIDOPHILUS/BULGARIS CHEW, 0.49 ,
38002023,ALBUTEROL INH SOLN 2.5 MG/0.5M, 27.00 ,
38002040,BUDESON/FORMOTEROL 160-4.5 MCG, 606.39 ,
38002041,BUMETANIDE TAB 1 MG, 6.74 ,
38002047,CHLORPROMAZINE TAB 50MG, 25.94 ,
38002050,CEFAZOLIN SOD/DEXTROSE ISO 1 G, 18.36 ,
38002051,CEFEPIME IVPB  2 GRAM, 30.00 ,
38002052,PACLITAXEL INJ 6MG/ML 50ML, 194.75 ,
38002053,AMOXICILLIN SUSP 400MG/5ML, 1.22 ,
38002055,CEFTRIAXONE SOD/DEX 1GM, 34.80 ,
38002059,CISATRACURIUM INJ 10 MG/ML 20, 853.90 ,
38002060,CISATRACURIUM INJ 2 MG/ML 5 ML, 47.04 ,
38002061,CLINDAMYCIN INJ 150MG/ML 6 ML, 15.29 ,
38002064,CYCLOBENZAPRINE TAB 5 MG, 4.34 ,
38002066,DARBEPOETIN ALFA 200MCG," 4,809.00 ",
38002067,DARBEPOETIN ALFA 100 MCG," 2,322.00 ",
38002068,DARBEPOETIN ALFA 60 MCG," 1,393.20 ",
38002069,DARBEPOETIN ALFA 40 MCG, 928.80 ,
38002070,DARBEPOETIN ALFA 25 MCG, 580.50 ,
38002071,DARUNAVIR 600MG TAB, 71.85 ,
38002073,DEXAMETHASONE INJ 10MG/ML 10 M, 32.50 ,
38002075,DEXTROSE 10%/WATER 250 ML, 5.63 ,
38002076,DEXTROSE 5% /WATER 500 ML, 6.25 ,
38002079,DOBUTAMINE 500 MG/D5W 250 ML, 104.38 ,
38002081,DOXERCALCIFEROL INJ 2MCG/ML 2ML, 19.80 ,
38002083,ELECTROLYTE SOLUTION ORAL 3%, 3.08 ,
38002084,EMOLLIENT SKIN CLEANSER, 13.66 ,
38002085,EMTRICIT/TENO/EFAVIRENZ (ATRIP, 272.40 ,
38002086,ENALAPRILAT INJ 1.25 MG/ML 1ML, 9.23 ,
38002087,ERYTHROMYCIN BASE OPHTH OINT, 31.03 ,
38002089,EYE WASH 4 OZ., 8.40 ,
38002090,EZETIMIBE/SIMVISTATIN 10-40 MG, 12.35 ,
38002091,EZETIMIBE/SIMVISTATIN 10-20 MG, 12.35 ,
38002092,FAMOTIDINE INJ 10 MG/ML 4ML, 6.15 ,
38002093,FEBUXOSTAT  TAB 80 MG, 26.10 ,
38002094,FEBUXOSTAT TAB 40 MG, 29.13 ,
38002096,FENOFIBRATE  TAB 145 MG, 2.79 ,
38002097,FEXOFENADINE TAB 180MG, 6.07 ,
38002099,FLUCONAZOLE SUSP 10 MG/ML 35 M, 86.36 ,
38002102,FLUORUORACIL INJ 2500 MG, 38.55 ,
38002103,FLUORUORACIL INJ 5000 MG, 100.00 ,
38002106,FLUPHENAZINE HCL INJ 2.5MG/ML, 548.75 ,
38002107,FLUPHENAZINE DEC INJ 25MG/ML 5, 464.90 ,
38002110,FONDAPARINUX SOD 7.5MG/0.6ML, 392.62 ,
38002111,FONDAPARINUX SOD 2.5MG/0.5ML, 166.84 ,
38002114,GUAIFENESIN/COD SYR 100-10MG/1, 2.53 ,
38002120,HEPATITIS A VACCINE 720ELU/0.5, 113.99 ,
38002125,HEP B VACCINE/DP (A) T/POLIO 0, 200.90 ,
38002128,HUMAN PAPILLOMA VIRUS  SYR, 489.56 ,
38002132,HYDROCORT SOD SUC INJ 250MG, 21.45 ,
38002133,HYDROCORT SOD SUC INJ 500MG, 47.60 ,
38002134,HYDROCORT SOD SUC INJ 1000MG, 45.02 ,
38002135,HYDROMORPHONE INJ 10 MG/ML, 4.31 ,
38002136,IBUPROFEN SUSP 100MG/5ML 5 ML, 4.55 ,
38002137,IBUPROFEN SUSP 100MG/5ML 10ML, 1.14 ,
38002138,ABATCEPT(ORENCIA)INJ PER 10MG, 125.55 ,
38002139,IMMUNOGLOBULIN 10%  20GM/200 ML," 6,491.50 ",
38002141,HEPARIN 1000UNITS/ML PF *NEON, 4.60 ,
38002145,IRON DEXTRAN COMPLEX  50MG, 39.75 ,
38002146,IRON SUCROSE COMPLEX 20mg/mL 5mL, 150.00 ,
38002151,DTAB-HIB-IP VACCINE, 241.72 ,
38002159,LEUPROLIDE ACETATE 1MG/0.2ML K," 1,780.51 ",
38002162,LEVONORGESTREL PLAN B BPK 1.5, 73.60 ,
38002163,TACROLIMUS 0.5 MG CAP, 5.57 ,
38002164,LIDOCAINE HCL/D5W PREMIX 4 MG/, 22.50 ,
38002170,LIDOCAINE INJ 10MG/ML 5 ML, 7.38 ,
38002171,LIDOCAINE INJ 10MG/ML 10 ML, 15.50 ,
38002173,"LIDOCAINE INJ 1% W/ EPI 1:100,", 11.25 ,
38002174,"LIDOCAINE INJ 1% W/ EPI 1:100,", 11.25 ,
38002175,"LIDOCAINE INJ 2% W/ EPI 1:100,", 47.15 ,
38002177,LIDOCAINE HCL JELLY 2% 5 ML, 19.50 ,
38002179,LIDOCAINE CREAM 4% 30 GM, 122.78 ,
38002180,LIDOCAINE CREAM 5% 15 GM, 82.54 ,
38002181,LISINOPRIL TAB 2.5 MG, 1.61 ,
38002187,MARAVIROC TAB 150 MG, 75.55 ,
38002194,METHYLENE BLUE1% 1 ML, 16.80 ,
38002195,METHYLNALTREXONE BROMIDE 0.6 M, 163.57 ,
38002198,MICAFUNGIN SODIUM INJ 100 MG, 561.00 ,
38002200,MICONAZOLE TOPICAL CR 2% 30 GM, 18.00 ,
38002202,MINOCYCLINE HCL CAP 100 MG, 8.49 ,
38002203,MONTELUKAST TAB 5 MG, 14.14 ,
38002205,MORPHINE SULF INJ 2 MG/ML 1 ML, 6.57 ,
38002210,MULTIVITAMINS INJ PEDIATRIC, 38.05 ,
38002211,MULTIVITAMINS-ZINC  ORAL DROP, 240.50 ,
38002213,MUPIROCIN OINT 2% NASAL 1 GM, 45.69 ,
38002214,MYCOPHENOLATE TAB 500 MG, 19.85 ,
38002216,NEOMYCIN-POLY-BACITRACIN 0.9 G, 0.53 ,
38002217,NEOMYCIN-POLY-BACITRACIN 0.1%, 10.25 ,
38002220,NICARDIPINE/SALINE 40MG/200ML, 610.00 ,
38002221,NICARDIPINE/SALINE 20MG/200ML, 305.00 ,
38002227,"NYSTATIN SUSP 100,000 UNITS/ML", 4.15 ,
38002228,OSELTAMIVIR PHOSPHATE 75 MG TA, 42.99 ,
38002229,OSELTAMIVIR SUSP 6MG/ML 60ML, 410.00 ,
38002232,OXALIPLATIN INJ 5MG/ML 20 ML, 150.00 ,
38002233,OXCARBAZEPINE 300MG/5ML, 18.96 ,
38002244,PHENYLEPHRINE OPHT SOLN 2.5%, 36.45 ,
38002246,PREDNISOLONE SOD PHOS 15 MG OD, 66.67 ,
38002247,ONDANSETRON 4MG ODT, 55.73 ,
38002248,PRENATAL VIT FE FUMARATE TAB, 0.89 ,
38002249,PRENATAL VIT FE FUMARATE TAB P, 0.65 ,
38002252,ROTAVIRUS VAC PENTAV (ROTATEQ), 237.59 ,
38002253,TETANUS DIPHTHER TOXOID 0.5 ML, 73.15 ,
38002255,TROPICAMIDE OPHT SOLN 1% 2 ML, 24.38 ,
38002260,PHENYLEPHRINE HCL 10MG/ML 10 M, 108.13 ,
38002262,REGADENOSON(LEXISCAN)INJPER0.1, 200.69 ,
38002265,PILOCARPINE OPHTH SOLN 4% 15ML, 65.78 ,
38002270,PORACTANT ALFA 80MG/ML 1.5 ML," 1,221.12 ",
38002271,PORACTANT ALFA 80MG/ML 3 ML," 2,407.85 ",
38002273,POTASSIUM CL 40MEQ/1L NS INJ, 10.00 ,
38002275,POTASSIUM PHOS INJ 3MMOL/ML 5ML, 20.18 ,
38002276,RALTEGRAVIR TAB 400 MG (ISENTR, 74.32 ,
38002281,SITAGLIPTIN TAB 50 MG, 42.96 ,
38002282,SITAGLIPTIN TAB 25 MG, 42.96 ,
38002283,SITTAGLIPTIN TAB 100 MG, 42.96 ,
38002285,SODIUM CHLORIDE INH 3% 15 ML, 1.99 ,
38002288,MAGNESIUM SULF 2GM/100 ML D5W, 43.75 ,
38002291,DEXTROSE 5%/0.33% SALINE 1000M, 13.90 ,
38002292,TETRACAINE OPHTH SOLN 0.5% 2ML, 24.12 ,
38002294,TOLNAFTATE 1% CREAM 30GM, 21.75 ,
38002295,TRACE METALS INJ 10 ML, 39.85 ,
38002297,TRAMADOL/ACETA TAB 37.5-325MG, 5.67 ,
38002299,VANCOMYCIN INJ 750 MG, 28.50 ,
38002305,VIT D 400 UNTS, 0.08 ,
38002308,NICOTINE PROLACRILEX GUM 2MG, 1.50 ,
38002310,AMIKACIN INJ 250 MG/ML 4ML, 66.69 ,
38002311,AMPICILLIN SUSP 250MG/5ML , 1.76 ,
38002313,ARIPIPRAZOLE TAB 2MG, 86.68 ,
38002315,ATOVAQ-PROGUANIL TAB 250-10 MG, 20.19 ,
38002316,ATROPINE INJ 0.4MG/ML 20 ML, 43.88 ,
38002318,AZITHROMYCIN TAB 500 MG, 38.92 ,
38002321,BISMUTH SUBSALICYLATE 118ML, 0.86 ,
38002322,BUMETANIDE INJ 0.25 MG/ML 4ML, 5.25 ,
38002326,CARBOPLATIN INJ 600MG, 216.45 ,
38002327,CARBOPROST TROMETH INJ 250MG/M," 1,063.25 ",
38002330,METFORMIN TAB 1000MG, 3.63 ,
38002332,NICOTINE PROLACRILEX GUM 4MG, 1.66 ,
38002335,DEXMEDETOMIDINE 200MG/2ML/50, 39.00 ,
38002336,DEXTROSE 10% 1000ML, 19.34 ,
38002337,FER SULF 15 MG/0.6ML ORAL SYR, 0.45 ,
38002339,NICOTINE PROLACRILEX LOZE 2MG, 1.49 ,
38002341,DICLOFENAC GEL 1%, 137.00 ,
38002344,DTAP-IPV/HIB VAC (PENTACEL), 137.94 ,
38002346,EPLERENONE TAB 25MG (INSPRA), 10.25 ,
38002348,NICOTINE PROLACCRILEX LOZ 4MG, 1.67 ,
38002349,FENTANYL INJ 50 MCG/ML 20ML, 33.00 ,
38002351,FORMOTEROL SOL 20 MCG/2ML, 47.50 ,
38002354,HEMORRHOIDAL OINT 30GM, 18.00 ,
38002355,INFLUENZA INJ 6 MONTHS-35 MONT, 181.30 ,
38002358,OSELTAMIVIR 30MG CAP *R*, 39.44 ,
38002365,MORPHINE PCA 1 MG/ML 100ML, 25.00 ,
38002370,NIFEDIPINE CAP 20 MG, 5.76 ,
38002372,OPHTH OINT LUBRICANT, 17.95 ,
38002377,PILOCARPINE OPHTH SOL 1% 15 ML, 102.00 ,
38002381,PYRIDOSTIGMINE INJ 5 MG/1 ML, 96.00 ,
38002389,BARIUM SO4 (READICAT) 450ML, 12.15 ,
38002390,DIA/MEG/DIATROSOD SOLN(GAS30ML, 72.53 ,
38002394,STERILE WATER 100ML SOLN, 11.25 ,
38002400,CALCIUM GUCONATE 100MG/ML 50ML, 45.00 ,
38002403,ZINC SULFATE 1MG/ML SOLN, 2.40 ,
38002404,INSULIN LISPRO 100UNITS/ML 3ML, 227.00 ,
38002405,INSULIN NPH REG HUM RECOMBS 3M, 73.92 ,
38002406,INSULIN REG HUMAN RECOMBS 3ML, 40.35 ,
38002407,HEPATITIS IMMUNE GLOBULIN NEON, 218.80 ,
38002409,HEP B VACCINE PED5MCG/0.5MLSUS, 66.00 ,
38002416,SELENIUM 40 MCG/ML 10ML, 55.40 ,
38002419,IXABEPILONE INJ PER 1MG (IXEMP, 255.85 ,
38002425,SILVASORB GEL 1.5 OZ, 76.39 ,
38002426,MOMETASONE 110MCG INH(ASMANEX), 122.97 ,
38002434,AMINO ACIDS 4.25%W10%DEX&ELECT, 125.00 ,
38002436,ZINC SULFATE 220MG TABLET, 0.19 ,
38002437,SEVELAMER CARBONATE 0.8GM PKT, 37.92 ,
38002439,FOSAPREPITANT INJ (EMEND) 1MG, 6.76 ,
38002441,DENOSUMAB INJ (XGEVA) PER 1 MG, 35.26 ,
38002442,ROSUVASTATIN 10MG (CRESTOR, 22.36 ,
38002443,ROSUVASTATIN 20MG TAB(CRESTOR), 22.34 ,
38002447,OCTREOTIDE(SANDOSTATINLAR)PER1, 916.65 ,
38002452,GABAPENTIN ORAL SOLN 250MG/ 5M, 14.46 ,
38002454,DABIGRATAN(PRADAXA)150 MG CAP, 19.67 ,
38002455,VITAMIN D-3 TAB 1000UNITS, 0.07 ,
38002457,ROSUVASTIN 5MG TABLET, 22.36 ,
38002461,RIFAMAXIN 550MG TAB (XIFAXAN), 109.75 ,
38002462,FULVESTRANT INJ(FASLODEX) 25MG," 1,454.29 ",
38002463,PANTOPRAZOLE 40MG ORAL SUSP PK, 34.60 ,
38002466,ACETAMINOPHEN INJ-OFIRMEV 10MG/100ml, 120.44 ,
38002467,ACETAMINOPHEN SUPPOSITORY 80MG, 2.01 ,
38002469,INSULIN LISPRO (HUMALOG) 3ML , 15.23 ,
38002473,FIDAXOMICIN(DIFICID) 200MG TAB, 502.04 ,
38002476,FOSAPREPITANT INJ 150MG(EMEND), 957.07 ,
38002477,INTRAV IMMUNE GLOB(IVIG)PER500, 127.65 ,
38002478,DULOXETINE 20MG CAP (CYMBALTA), 21.33 ,
38002480,HYDRALAZINE ISO DINITRATE 37.5, 6.10 ,
38002484,HYDROXYPROGESTE CAPROATE 250MG," 2,165.75 ",
38002486,"VITAMIN A 10,000 UNITS GELCAP", 0.09 ,
38002489,AMINO ACIDS 5% D15W/LYTES/CA, 107.86 ,
38002490,AMINO ACIDS 5%/D20W/LYTES/CA, 102.50 ,
38002491,MISOPROSTOL 100 MCG TABLET, 0.61 ,
38002493,AMIODARONE 150MG/100ML NEXTERO, 104.00 ,
38002494,AMIODARONE 360MG/200ML NEXTERO, 138.50 ,
38002495,LEVOLEUCOVORIN INJ PER 0.5 MG, 2.79 ,
38002498,RIVAROXABAN 10MG TAB (XARELTO), 41.34 ,
38002500,ROFLUMILAST 500MCG TAB-DALIRES, 27.62 ,
38002501,RIVAROXABAN 20MG TABLET, 33.33 ,
38002503,ATAZANAVIR SULFATE 300MG CAP, 142.52 ,
38002504,RITONAVIR (NORVIR) 100MG TAB, 22.56 ,
38002506,ZOSTER (SHINGLES) VASS LIVE SC, 530.86 ,
38002507,PACLITAXEL PROTEIN BOUND 1MG, 39.45 ,
38002509,MICONAZOLE CRM 2% SECURA ANTFN, 38.96 ,
38002510,LURASIDONE HCI 40MG TABLET, 119.85 ,
38002511,CLOBAZAM 5MG TABLET (ONFI), 11.09 ,
38002512,DARBEPOETIN ALFA PER1MCG NONES, 23.01 ,
38002516,AMINO ACIDS 10% (TROPHAMINE) , 72.45 ,
38002518,LACOSAMIDE 50MG TABLET(VIMPAT), 19.99 ,
38002519,LACOSAMIDE 10MG/ML20ML(VIMPAT), 212.05 ,
38002521,PERJETA 420MG SINGLE DOSE VIAL," 15,037.00 ",
38002522,RILPIVIRINE 25MG TAB (EDURANT), 104.30 ,
38002523,RUFINAMIDE 40MG/ML SUSP 1ML, 10.05 ,
38002524,TICAGRELOR TAB 90MG (BRILINTA), 16.04 ,
38002526,LEVETIRACETAM/SOD 5MG/ML 100ML, 89.25 ,
38002527,LEVETIRACETAM/SOD 10MG/ML 100M, 148.75 ,
38002528,MAG HYDROX/AL HYDROX 30ML, 6.55 ,
38002529,INSULIN DETEMIR INJ 100UNITS/ML 0.1ML, 28.65 ,
38002530,COMPLERA TAB 200/25/300 MG, 205.28 ,
38002532,GLUCOSE TABLETS, 0.58 ,
38002533,GLUTOSE ORAL GEL 45, 29.65 ,
38002538,FLU VIRUS TRISPLIT INTRA 0.1ML, 173.99 ,
38002539,CARFILZOMIB INJ (KYPROLIS) 1MG, 112.65 ,
38002547,DARUNAVIR 800MG TBLT PREZISTA, 158.05 ,
38002552,QUETIAPINE FUMARATE 50MG TABLE, 16.42 ,
38002559,PRAMIPEXOLE DI-HCI 0.5MG, 19.16 ,
38002562,HYDROMORPHONEPCA 20MG/100ML 0., 64.38 ,
38002563,TRANEXAMIC ACID INJ100MG/ML 10, 84.10 ,
38002564,BELIMUMAB INJ PER 10 MG BENLYS, 135.66 ,
38002565,TOPOTECAN INJ PER 0.1MG, 22.49 ,
38002566,PERTUZUMAB PER 1MG PERJETA, 35.40 ,
38002567,BACITRACIN OPHTHLMC ONTMNT 3.5, 173.35 ,
38002568,CUPRIC COPPR CL 0.4MG/ML 10ML, 58.65 ,
38002569,BIOTENE ORAL RINCE 59ML, 13.45 ,
38002571,IRON SUCROSE VENOFER PER 1MG, 1.77 ,
38002573,BETAMETHASONE ACETSODPHOSPCELE, 42.36 ,
38002575,ALPRAZOLAM 0.5 MG TABLET, 1.85 ,
38002576,BUPRENORPHINE/NALOXONE 8MG/2MG, 21.12 ,
38002579,FONDAPARINUX 10MG/0.8ML SYRING, 321.53 ,
38002581,BUPIVACAINE/SNSRCN MPF 0.25%10, 15.70 ,
38002586,OXACILLIN 2 GRAM INJ, 70.69 ,
38002587,VANCOMYCIN 10 GRAM BULK INJ, 23.42 ,
38002594,CEFAZOLIN 2GR/DEXTROSE 50ML DP, 27.54 ,
38002598,HEPARIN FLUSH 100UNITS/ML 3ML, 1.45 ,
38002600,HEPARIN SODIUM INJ 5000UN/ML 1, 25.20 ,
38002602,HYDROCORTISONE VLRT CRM 0.2%15, 154.99 ,
38002616,LIDOCAINE 1% 30ML  XYLO MPF, 22.73 ,
38002618,LIDOCAINE 2% 5ML XYLOCAINE MPF, 8.55 ,
38002624,MILRINONE LACTATE INJ1MG/ML 20, 429.30 ,
38002626,METHYLPREDNISOLONE SOD SUC 500, 54.86 ,
38002628,ANTIPYRINE/BENZOCAINE OTIC 15M, 32.29 ,
38002629,ATROPINE SO4 OPHTH SOL 1% 5ML, 42.05 ,
38002632,POTASSIUM CL ORAL SOL 40MEQ/30, 121.82 ,
38002636,ADO-TRASTUZUMAB EMTANSINE 1MG, 89.65 ,
38002656,DARBEPOETIN ALFA 150MCG/0.3ML," 3,483.00 ",
38002658,CEFTAROLINE FOSAMIL INJ 600MG, 149.95 ,
38002659,HEPATITIS A VACCINE 50UNIT/ML, 218.24 ,
38002660,HEPATITIS A VACCINE 25UNIT/ML, 112.07 ,
38002664,CEFTRIAXONE 2G/50ML DUPLEX, 55.63 ,
38002666,FAT EMULSION 20% 250ML INTRLPD, 87.50 ,
38002682,LOSARTAN 100MG/HCTZ 25MG TBLT, 8.52 ,
38002684,NITROFURANTOIN MCRCRSTL 100MGC, 8.44 ,
38002685,MIDODRINE 10MG TBLT, 24.30 ,
38002687,MESALAMINE 500MG CAP (PENTASA), 18.25 ,
38002688,CETIRIZINE 1MG/ML SOLN 120ML, 24.85 ,
38002694,BUPRENORPHINE/NALOXONE 2MG/0.5, 11.79 ,
