The Bellevue Hospital Charge Listing Effective 01/01/2019,,
Description,Amount,
RA HIP UNI 1 VIEW W PELVIS LT,159.00 ,
RA HIP UNI 1 VIEW W PELVIS RT,159.00 ,
RA HIP UNI 1 VIEW WO PELVIS LT,159.00 ,
RA HIP UNI 1 VIEW WO PELVIS RT,159.00 ,
RA HIPS 2 VIEW W PELVIS BIL,226.00 ,
RA HIPS 2 VIEW WO PELVIS BIL,226.00 ,
RA HIPS 3 TO 4 VIEWS W PELVIS,236.00 ,
RA HIPS 3 TO 4 VIEWS WO PELVIS,236.00 ,
RA HIPS 5 VIEWS W PELVIS,247.00 ,
RA HIPS 5 VIEWS WO PELVIS,247.00 ,
RA HUMERUS MIN 2 VIEW BI,339.00 ,
RA HUMERUS MIN 2 VIEW LT,169.00 ,
RA HUMERUS MIN 2 VIEW RT,169.00 ,
RA HYSTEROSALPINGOGRAPHY,632.00 ,
RA INJ AND PLACEMENT OF CHAIN FOR CONTRA,101.00 ,
RA INJ FOR ARTHROGRAM,377.00 ,
RA INJ PROC CERVICAL THORACIC DISKOGRAPH,492.00 ,
RA INJ PROC CONTRST VENOGR,310.00 ,
RA INJ PROC FOR CYSTOGRAPHY,223.00 ,
RA INJ PROC FOR MYELOGRAPHY,422.00 ,
RA INJ PROC FOR RETROGRADE,223.00 ,
RA INJ PROC FOR SIALOGRAPHY,323.00 ,
RA INJ PROC HIP ARTHRO,372.00 ,
RA INJ PROC T TUBE CHOLANG,159.00 ,
RA INJ PROC VOIDING CYSTO,223.00 ,
RA INJ PROC WRIST ARTHRO,340.00 ,
RA INJECT PROC GALACTOGR,365.00 ,
RA INTROD NEEDLE INTRACATH,161.00 ,
RA IVP,501.00 ,
RA IVP RAP SEQ,669.00 ,
RA KNEE 1 OR 2 BIL,244.00 ,
RA KNEE 1 OR 2 VIEW LT,122.00 ,
RA KNEE 1 OR 2 VIEW RT,122.00 ,
RA KNEE 3 VIEW BIL,566.00 ,
RA KNEE 3 VIEW LT,285.00 ,
RA KNEE 3 VIEW RT,285.00 ,
RA KNEE 4 OR MORE BIL,673.00 ,
RA KNEE 4 OR MORE LT,338.00 ,
RA KNEE 4 OR MORE RT,338.00 ,
RA KNEE ARTHROGRAM BIL,"1,796.00 ",
RA KNEE ARTHROGRAM LT,900.00 ,
RA KNEE ARTHROGRAM RT,900.00 ,
RA KNEE BILATERAL INJECTION,874.00 ,
RA KNEE LEFT INJECTION,437.00 ,
RA KNEE RIGHT INJECTION,437.00 ,
RA KNEES BOTH AP STAND,146.00 ,
RA KUB 1 VIEW,164.00 ,
RA KUB AND OBLIQUES,330.00 ,
RA KUB DECUB OR ERECT,330.00 ,
RA LEG TIB FIB 2 VIEW BIL,436.00 ,
RA LEG TIB FIB 2 VIEW LT,221.00 ,
RA LEG TIB FIB 2 VIEW RT,221.00 ,
RA LOW EXT INFANT MIN 2 LT,179.00 ,
RA LOW EXT INFANT MIN 2 RT,179.00 ,
RA LOW EXT INFANT MIN2BI,333.00 ,
RA LUMBAR PUNCTURE,804.00 ,
RA LUMBAR SPINE 1 VIEW,167.00 ,
RA LUMBAR SPINE 2 OR 3 VIEW,179.00 ,
RA LUMBAR SPINE BEND ONLY 2 OR 3 VIEWS,340.00 ,
RA LUMBAR SPINE MIN 4 VIEW,529.00 ,
RA LUMBAR SPINE W BENDING MIN 6 VIEWS,485.00 ,
RA MANDIBLE LESS THAN 4 VIEWS,131.00 ,
RA MANDIBLE MIN 4 VIEW,224.00 ,
RA MASTOIDS MIN 3 VIEW,342.00 ,
RA MYELOGRAM 2 OR MORE REGIONS,"1,158.00 ",
RA MYELOGRAM C SPINE W INJ,"1,077.00 ",
RA MYELOGRAM CERV,"1,158.00 ",
RA MYELOGRAM CERV VIA LUMBAR,"1,077.00 ",
RA MYELOGRAM L SPINE W INJ,"1,580.00 ",
RA MYELOGRAM LS,"1,158.00 ",
RA MYELOGRAM T SPINE W INJ,"1,580.00 ",
RA MYELOGRAM THORACIC,"1,158.00 ",
RA NASAL BONES MIN 3 VIE,224.00 ,
RA NECK SOFT TISSUE,167.00 ,
RA NEEDLE LOCALIZATION BY XRAY,70.00 ,
RA NEPHROSTOMY TUBE CHANGE,"2,483.00 ",
RA NOSE TO RECTUM CHILD,167.00 ,
RA ORBITS MIN 4 VIEW,299.00 ,
RA PACEMAKER W FLUORO,415.00 ,
RA PELVIMETRY,291.00 ,
RA PELVIS 1 OR 2 VIEW,285.00 ,
RA PELVIS W OBL MIN 3 VIEWS,313.00 ,
RA PERCUTANEOUS DRAINAGE,647.00 ,
RA PERCUTANEOUS TUBE CATHETER,375.00 ,
RA PERCUTANEOUS TUBE CHANGE,375.00 ,
RA PERIPHERAL PLACEMENT,"4,195.00 ",
RA REPLACEMENT PICC CATH,"1,743.00 ",
RA RETROGRADE PYLOGRAM,497.00 ,
RA RIBS BIL NO CHEST 3 VIEW,179.00 ,
RA RIBS BILATERAL PA CHEST 4 OR MORE VIE,402.00 ,
RA RIBS UNI NO CHEST 2 LT,144.00 ,
RA RIBS UNI NO CHEST 2 RT,144.00 ,
RA RIBS UNILAT PA CHEST MIN 3 VIEWS RT,338.00 ,
RA RIBS UNILATERAL PLUS PA CHEST 3>LT,338.00 ,
RA SACROILIAC JOINT 3 OR MORE,205.00 ,
RA SACRUM COCCYX MIN 2 VIEWS,213.00 ,
RA SCALPULA BIL,337.00 ,
RA SCALPULA LT,168.00 ,
RA SCALPULA RT,168.00 ,
RA SCOLIOSIS SERIES 2 TO 3 VIEWS,477.00 ,
RA SCREEN BARIUM ENEMA,706.00 ,
RA SELLA TURCICA,258.00 ,
RA SHOULDER 1 VIEW BIL,333.00 ,
RA SHOULDER 1 VIEW LT,167.00 ,
RA SHOULDER 1 VIEW RT,167.00 ,
RA SHOULDER 2 OR MORE BI,811.00 ,
RA SHOULDER 2 OR MORE LT,405.00 ,
RA SHOULDER 2 OR MORE RT,405.00 ,
RA SHOULDER ARTHROGRAM BIL,"1,507.00 ",
RA SHOULDER ARTHROGRAM LT,755.00 ,
RA SHOULDER ARTHROGRAM RT,755.00 ,
RA SHOULDER BILATERAL INJECTION,874.00 ,
RA SHOULDER LEFT INJECTION,437.00 ,
RA SHOULDER RIGHT INJECTION,437.00 ,
RA SIALOGRAM LT,649.00 ,
RA SIALOGRAM RT,649.00 ,
RA SINUS LESS THAN 3 VIE,117.00 ,
RA SINUSES MIN 3 VIEW,501.00 ,
RA SKELETAL BONE DENSITY,348.00 ,
RA SKULL LESS THAN 4 VIE,179.00 ,
RA SKULL MIN 4 VIEW,519.00 ,
RA SM BOWEL ENTEROCLYSIS,737.00 ,
RA SMALL BOWEL,372.00 ,
RA STERNOCLAVICULAR 3OR>,210.00 ,
RA STERNUM MIN 2 VIEW,210.00 ,
RA SWALLOWING W CINE,570.00 ,
RA THORACIC SPINE 1 VIEW,167.00 ,
RA THORACIC SPINE 2 VIEW,215.00 ,
RA THORACIC SPINE AP LAT 3 VIEW,458.00 ,
RA THORACIC SPINE MIN 4 VIEW,349.00 ,
RA THORACOLUMBAR JUNCTION 2 V,111.00 ,
RA TMJ BILATERAL,248.00 ,
RA TMJ UNI LT,167.00 ,
RA TMJ UNI RT,167.00 ,
RA TOES MIN 2 VIEW BIL,368.00 ,
RA TOES MIN 2 VIEW LT,185.00 ,
RA TOES MIN 2 VIEW RT,185.00 ,
RA TOMOS,519.00 ,
RA TREATMENT,624.00 ,
RA UGI W AIR WO KUB,284.00 ,
RA UPPER EXTREMITY INFANT 2 VIEW LT,179.00 ,
RA UPPER EXTREMITY INFANT 2V BIL,333.00 ,
RA UPPER EXTREMITY INFANT 2V RT,179.00 ,
RA UPPER GI WO KUB,284.00 ,
RA UROGRAPHY,503.00 ,
RA VEINOGRAPHY,"1,667.00 ",
RA VENOGRAM BIL,"1,679.00 ",
RA VENOGRAM UNI LT,"1,667.00 ",
RA VENOGRAM UNI RT,"1,667.00 ",
RA WRIST AP LAT 2 VIEW BILATERAL,284.00 ,
RA WRIST AP LAT 2 VIEW LT,142.00 ,
RA WRIST AP LAT 2 VIEW RT,142.00 ,
RA WRIST ARTHROGRAM BIL,"1,362.00 ",
RA WRIST ARTHROGRAM LT,679.00 ,
RA WRIST ARTHROGRAM RT,679.00 ,
RA WRIST MIN 3 VIEW BIL,612.00 ,
RA WRIST MIN 3 VIEW LT,307.00 ,
RA WRIST MIN 3 VIEW RT,307.00 ,
US 3D 4D RENDERING,"1,032.00 ",
US ABDOMINAL AORTA  AAA DIAGNOSTIC,664.00 ,
US ABDOMINAL AORTA SCREENING,647.00 ,
US ABDOMINAL PARACENTESIS,919.00 ,
US AMNIOTIC FLUID VOL,330.00 ,
US AORTA ABDOMINAL AORTIC ANEURYSM COMPL,889.00 ,
US APPENDIX,621.00 ,
US ARTERIAL UPPER EXTREMITY BILATERAL,731.00 ,
US ARTERIES LOWER EXTREMITY BILATERAL,731.00 ,
US BIOPHYSICAL NO NON STRESS TEST,348.00 ,
US BIOPHYSICAL NO NON STRESS TEST ADD GE,348.00 ,
US BIOPHYSICAL W NON STRESS TEST,348.00 ,
US BIOPSY MUSCLE PERCUTANEOUS NEEDLE,"2,027.00 ",
US BLADDER,257.00 ,
US BREAST COMPLETE BIL,425.00 ,
US BREAST LEFT COMPLETE,213.00 ,
US BREAST LEFT LIMITED,190.00 ,
US BREAST LIMITED,190.00 ,
US BREAST LIMITED BIL,379.00 ,
US BREAST LOCALIZATION DEVICE LT 1ST,247.00 ,
US BREAST LOCALIZATION DEVICE RT 1ST,247.00 ,
US BREAST LOCALIZATION OR LT US EA ADD,213.00 ,
US BREAST LOCALIZATION OR RT US EA ADD,213.00 ,
US BREAST PUNCTURE ASPIRATION CYST,916.00 ,
US BREAST RIGHT COMPLETE,213.00 ,
US BREAST RIGHT LIMITED,190.00 ,
US BREAST SPECIMEN,945.00 ,
US BX BREAST BIL 1ST LESION US IMAG,"4,053.00 ",
US BX BREAST LT 1ST LESION US IMAG,"2,027.00 ",
US BX BREAST LT ADD LESION US IMAG,"1,525.00 ",
US BX BREAST RT 1ST LESION US IMAG,"2,027.00 ",
US BX BREAST RT ADD LESION US IMAG,"1,525.00 ",
US CAROTID ARTERIES BIL,"1,673.00 ",
US CAROTID LIMITED STUDY,425.00 ,
US CATH FOR SALINE HYSTEROGRAM,120.00 ,
US CERVICAL LENGTH,330.00 ,
US CHEST,263.00 ,
US DOPPLER ECHO FETAL CA,739.00 ,
US DRAIN ABDOMINAL ABCESS,"2,027.00 ",
US EXTREMITY NON VASCULAR COMPLETE,252.00 ,
US EXTREMITY NON VASCULAR LIMITED LT,172.00 ,
US EXTREMITY NON VASCULAR LIMITED RT,172.00 ,
US FINE NEEDLE ASP,916.00 ,
US GALLBLADDER,621.00 ,
US GROWTH,284.00 ,
US GUIDE NEEDLE BIOPSY ASPIRATION,641.00 ,
US INCOMPLETE ANATOMY,330.00 ,
US INFERIOR VENA CAVA,212.00 ,
US KIDNEYS,664.00 ,
US LIMITED ARTERY ARM LEFT,572.00 ,
US LIMITED ARTERY ARM RIGHT,572.00 ,
US LIMITED ARTERY LEG LEFT,572.00 ,
US LIMITED ARTERY LEG RIGHT,572.00 ,
US LIMITED EXTREMETY VENOUS,572.00 ,
US LIMITED EXTREMITY ARTERY,572.00 ,
US LIVER,621.00 ,
US LIVER BIOPSY,"2,027.00 ",
US LYMPH NODE BIOPSY,"2,027.00 ",
US NUCAHL TRANSLUCENCY INCOMPLETE,368.00 ,
US NUCHAL TRANSLUCENCY MEASUREMENT 1 GES,368.00 ,
US NUCHAL TRANSLUCENCY MEASURMENT ADDITI,238.00 ,
US PANCREAS,621.00 ,
US PELVIS,810.00 ,
US PELVIS TRANSVAGINAL,733.00 ,
US PERCUTANEOUS DRAINAGE,647.00 ,
US PLACENTA,330.00 ,
US PLEURA NEEDLE BIOPSY,"2,027.00 ",
US PREGNANCY ANATOMY SINGLE,330.00 ,
US PREGNANCY BIOPHYSICAL W NON STRESS AD,348.00 ,
US PREGNANCY COMPLETE ADD GESTATION,314.00 ,
US PREGNANCY COMPLETE LESS THAN 14 WKS S,330.00 ,
US PREGNANCY DATING  GT 14 WKS,330.00 ,
US PREGNANCY EA ADDTL GESTATION GT 14WKS,213.00 ,
US PREGNANCY EA ADDTL GESTATION LT 14 WK,213.00 ,
US PREGNANCY FOLLOW UP,284.00 ,
US PREGNANCY GROWTH ADDTL,284.00 ,
US PREGNANCY LIMITED 1 OR MORE,330.00 ,
US PREGNANCY REEVALUATION ABNORMAL FOLLO,284.00 ,
US PREGNANCY TRANSVAGINAL,330.00 ,
US PREGNANCY TWINS AMNIOTIC FLUID VOLUME,330.00 ,
US PROSTATE,679.00 ,
US PROSTATE NEEDLE BIOPSY,"2,744.00 ",
US PYLORIS,621.00 ,
US RENAL BIOPSY CORE NEEDLE TROCAR,"2,027.00 ",
US RENAL CYST ASPIRATION PERCUTANEOUS,"1,975.00 ",
US RETROPERITONEUM,679.00 ,
US SALINE INFUSE SONOHYSTEROGRAM,394.00 ,
US SCROTUM,679.00 ,
US SENTINEL NODE,339.00 ,
US SINGLE QUAD LT LOW,621.00 ,
US SINGLE QUAD LT UPPER,621.00 ,
US SINGLE QUAD RT LOW,621.00 ,
US SINGLE QUAD RT UPPER,621.00 ,
US SINGLE QUAD UMBILICAL,621.00 ,
US SOFT TISSUE HEAD WITH NECK,348.00 ,
US SPINE,195.00 ,
US SPLEEN,621.00 ,
US THORACENTESIS,919.00 ,
US THORACENTISIS NEEDLE GUIDE,641.00 ,
US THYROID,348.00 ,
US TRANSPLANTED KIDNEY,348.00 ,
US UMBILICAL ARTERY,172.00 ,
US VASC ORGAN SINGLE LIMITED,529.00 ,
US VASCULAR ORGAN COMPLETE,373.00 ,
US VEIN CENTER FACILITY FEE,122.00 ,
US VENOUS DOPPLER BIL ARM,"1,089.00 ",
US VENOUS DOPPLER BIL LEG,"1,089.00 ",
US VENOUS DOPPLER L ARM,572.00 ,
US VENOUS DOPPLER LT LEG,572.00 ,
US VENOUS DOPPLER R ARM,572.00 ,
US VENOUS DOPPLER R LEG,572.00 ,
US VENOUS REFLUX BIL,"1,089.00 ",
US VENOUS REFLUX LT,572.00 ,
US VENOUS REFLUX RT,572.00 ,
NM ABCESS LOCALIZATION LIMITEE,"1,905.00 ",
NM ABDOMEN MECKELS,927.00 ,
NM BONE IMAGE 3 PHASE,957.00 ,
NM BONE MARROW LIMITED,693.00 ,
NM BONE SCAN LIMITED,739.00 ,
NM BONE SCAN WHOLE BODY,"1,198.00 ",
NM BONE TOMOGRAPHIC SPECT,"1,705.00 ",
NM BRAIN SCAN W FLOW,"1,384.00 ",
NM BRAIN TOMOG SPECT,"2,479.00 ",
NM CARDIAC IMAG 1ST PASS,739.00 ,
NM CCK,204.00 ,
NM CISTERNOGRAM,"1,235.00 ",
NM GALLIUM PER MCI,648.00 ,
NM GALLIUM WHOLE BODY MULTIPLE DAYS,"2,230.00 ",
NM GALLIUM WHOLE BODY SINGLE DAY,"1,905.00 ",
NM GASTRIC EMPTYING,"1,107.00 ",
NM GI BLEED,742.00 ,
NM HEART 1ST PASS ADD,295.00 ,
NM HEPATOBILIARY W GALLBLADDER,700.00 ,
NM HEPATOBILIARY W GALLBLADDER W PHARMAC,700.00 ,
NM I 123 CAP PER 100MC,156.00 ,
NM I 131 CAP PER MC,"1,364.00 ",
NM I 131 CAP PER MCI DIAG,24.00 ,
NM IN 111 DTPA PER 0.5MCI,"1,500.00 ",
NM INDIUM 111 AUTO WHITE BLOOD,"3,124.00 ",
NM INDIUM ZEVALIN,"10,860.00 ",
NM INFLAMMATATORY LOCALIZATION LIMITED A,"1,905.00 ",
NM INFLAMMATORY LOCALIZATION WHOLE BODY,"1,326.00 ",
NM IV PUSH,288.00 ,
NM KIDNEY TOMOGRAPHIC SPECT,"2,109.00 ",
NM LIVER SPECT,"2,199.00 ",
NM LIVER SPLEEN,725.00 ,
NM LUNG PERF ONLY,831.00 ,
NM MIRALUMA,495.00 ,
NM MUGA GATED HEART PLANAR SINGLE,"1,418.00 ",
NM MULTIPLE ZEVALIN,"2,230.00 ",
NM OCTREOSCAN PER MCI,"6,040.00 ",
NM PARATHYROID,"2,334.00 ",
NM PULMONARY VENTILATION AEROSOL OR GAS,593.00 ,
NM PULMONARY VENTILATION W PERFUSION,"8,352.00 ",
NM RENAL SCAN WO PHARMACOLOGICAL INTERVE,"1,767.00 ",
NM RENAL W PHARMACOLOGICAL INTERVENTION,789.00 ,
NM RENAL WO W PHARMACOLOGICAL INTERVENTI,789.00 ,
NM SALIVARY GLAND,614.00 ,
NM SALIVARY GLAND FUNCTION,614.00 ,
NM SALIVARY GLAND W SERIAL,614.00 ,
NM SCINTIMAMMOGRAPHY LIMITED,"1,171.00 ",
NM SENTINAL NODE,927.00 ,
NM SPINAL PUNCTURE LUMBAR DX,804.00 ,
NM STRESS ONLY SINGLE,"4,962.00 ",
NM STRESS REST MULTIPLE STUDIES,"4,962.00 ",
NM TC 99M MAG3,476.00 ,
NM TC 99M RBC,113.00 ,
NM TC99M CARDIOLITE,481.00 ,
NM TC99M CERETEC PER DOSE,909.00 ,
NM TC99M CHOLETEC,207.00 ,
NM TC99M DTPA AEROSOL,207.00 ,
NM TC99M MAA,277.00 ,
NM TC99M MDP,117.00 ,
NM TC99M NEUROLITE,"1,093.00 ",
NM TC99M PYP,171.00 ,
NM TC99M SOD PERTECH PERMC,57.00 ,
NM TC99M SULFER COLLOID,117.00 ,
NM TESTICULAR VASCULAR,906.00 ,
NM THYROID SCAN INCLUDING VASCULAR FLOW,857.00 ,
NM THYROID UPTAKE SINGLE OR MULTIPLE,797.00 ,
NM THYROID UPTAKE W VASCULAR FLOW SINGLE,"1,409.00 ",
NM TL 201 THALLIUM PER MCI,210.00 ,
NM TUMOR LOCALIZATION LIMITED,"1,705.00 ",
NM TUMOR LOCALIZATION WHOLE BODY,"1,905.00 ",
NM VENOGRAM BILATERAL,927.00 ,
NM VENOGRAM UNILATERAL LT,857.00 ,
NM VENOGRAM UNILATERAL RT,857.00 ,
NM VOIDING CYSTO URETHO,928.00 ,
NM ZEVALIN SINGLE,"1,905.00 ",
CT 3D RENDERING,"1,032.00 ",
CT ABDOMEN PARACENTESIS,919.00 ,
CT ABDOMEN PELVIS W CONTRAST,"3,078.00 ",
CT ABDOMEN PELVIS WO CONTRAST,"2,632.00 ",
CT ABDOMEN PELVIS WO W CONTRAST,"3,456.00 ",
CT ABDOMEN RETROPERITONEAL BIOPSY,"2,027.00 ",
CT ABDOMEN W CONTRAST,"2,053.00 ",
CT ABDOMEN W WO CONTRAST,"2,306.00 ",
CT ABDOMEN WO CONTRAST,"1,759.00 ",
CT ABDOMENAL DRAINAGE ABSCESS,"2,027.00 ",
CT ANKLE WO CONTRAST LT,"1,759.00 ",
CT ANKLE WO CONTRAST RT,"1,759.00 ",
CT ANKLE WO W CONTRAST LT,"2,206.00 ",
CT ANKLE WO W CONTRAST RT,"2,206.00 ",
CT BIOPSY BONE TROCAR OR NEEDLE SUBERRFI,"2,027.00 ",
CT BX BONE TROCAR NEEDLE DEEP,"2,027.00 ",
CT CERVICAL SPINE W CONTRAST,"1,824.00 ",
CT CERVICAL SPINE WO CONTRAST,"1,779.00 ",
CT CERVICAL SPINE WO W CONTRAST,"1,892.00 ",
CT CHEST HIGH RESOLUTION,"1,759.00 ",
CT CYST GUIDED BIOPSY ASPIRATION,"1,759.00 ",
CT ELBOW W CONTRAST LT,"1,976.00 ",
CT ELBOW W CONTRST RT,"1,976.00 ",
CT ELBOW WO CONTRAST LT,"1,759.00 ",
CT ELBOW WO CONTRAST RT,"1,759.00 ",
CT ELBOW WO W CONTRAST LT,"2,206.00 ",
CT ELBOW WO W CONTRAST RT,"2,206.00 ",
CT FACIAL BONES W CONTRAST,"1,703.00 ",
CT FACIAL BONES WO CONTRAST,"1,661.00 ",
CT FACIAL BONES WO W CONTRAST,"1,898.00 ",
CT FEMUR W CONTRAST LT,"1,976.00 ",
CT FEMUR W CONTRAST RT,"1,976.00 ",
CT FEMUR WO CONTRAST LT,"1,759.00 ",
CT FEMUR WO CONTRAST RT,"1,759.00 ",
CT FEMUR WO W CONTRAST LT,"2,206.00 ",
CT FEMUR WO W CONTRAST RT,"2,206.00 ",
CT FINE NEEDLE ASP,916.00 ,
CT FOOT WO CONTRAST LT,"1,759.00 ",
CT FOOT WO CONTRAST RT,"1,759.00 ",
CT FOOT WO W CONTRAST LT,"2,206.00 ",
CT FOOT WO W CONTRAST RT,"2,206.00 ",
CT FOREARM  WO CONTRAST RT,"1,759.00 ",
CT FOREARM  WO W CONTRAST RT,"2,206.00 ",
CT FOREARM W CONTRAST LT,"1,976.00 ",
CT FOREARM W CONTRAST RT,"1,976.00 ",
CT FOREARM WO CONTRAST LT,"1,759.00 ",
CT FOREARM WO W CONTRAST LT,"2,206.00 ",
CT HAND W CONTRAST LT,"1,976.00 ",
CT HAND W CONTRAST RT,"1,976.00 ",
CT HAND WO CONTRAST LT,"1,759.00 ",
CT HAND WO CONTRAST RT,"1,759.00 ",
CT HAND WO W CONTRAST LT,"2,206.00 ",
CT HAND WO W CONTRAST RT,"2,206.00 ",
CT HEAD W CONTRAST,"2,058.00 ",
CT HEAD WO CONTRAST,"1,946.00 ",
CT HEAD WO W CONTRAST,"2,639.00 ",
CT HIP W CONTRAST LT,"1,976.00 ",
CT HIP W CONTRAST RT,"1,976.00 ",
CT HIP WO CONTRAST LT,"1,759.00 ",
CT HIP WO CONTRAST RT,"1,759.00 ",
CT HIP WO W CONTRAST LT,"2,206.00 ",
CT HIP WO W CONTRAST RT,"2,206.00 ",
CT HUMERUS LT WO CONTRAST,"1,759.00 ",
CT HUMERUS W CONTRAST LT,"1,976.00 ",
CT HUMERUS W CONTRAST RT,"1,976.00 ",
CT HUMERUS WO CONTRAST RT,"1,759.00 ",
CT HUMERUS WO W CONTRAST LT,"2,206.00 ",
CT HUMERUS WO W CONTRAST RT,"2,206.00 ",
CT I&D ABCESS SIMPLE OR SINGLE,305.00 ,
CT KNEE WO CONTRAST LT,"1,759.00 ",
CT KNEE WO CONTRAST RT,"1,759.00 ",
CT KNEE WO W CONTRAST LT,"2,206.00 ",
CT KNEE WO W CONTRAST RT,"2,206.00 ",
CT LEG LOWER W CONTRAST LT,"1,976.00 ",
CT LEG LOWER W CONTRAST RT,"1,976.00 ",
CT LIVER BIOPSY,"2,027.00 ",
CT LOWER EXTREMITY W CONTRAST BILATERAL,"3,951.00 ",
CT LOWER EXTREMITY W CONTRAST LT,"1,976.00 ",
CT LOWER EXTREMITY W CONTRAST RT,"1,976.00 ",
CT LOWER EXTREMITY WO CONTRAST BILATERAL,"3,513.00 ",
CT LOWER EXTREMITY WO CONTRAST LT,"1,759.00 ",
CT LOWER EXTREMITY WO CONTRAST RT,"1,759.00 ",
CT LOWER EXTREMITY WO W CONTRAST BILATER,"4,416.00 ",
CT LOWER EXTREMITY WO W CONTRAST LT,"2,206.00 ",
CT LOWER EXTREMITY WO W CONTRAST RT,"2,206.00 ",
CT LOWER LEG RT WO CONTRAST RT,"1,759.00 ",
CT LOWER LEG WO CONTRAST LT,"1,759.00 ",
CT LOWER LEG WO W CONTAST LT,"2,206.00 ",
CT LOWER LEG WO W CONTRAST RT,"2,206.00 ",
CT LUMBAR SPINE W CONTRAST,"2,073.00 ",
CT LUMBAR SPINE W WO CONTRAST,"2,334.00 ",
CT LUMBAR SPINE WO CONTRAST,"1,779.00 ",
CT LUNG BIOPSY,"2,027.00 ",
CT LUNG CANCER SCREENING,"1,136.00 ",
CT MANDIBLE W CONTRAST,"1,703.00 ",
CT MANDIBLE WO CONTRAST,"1,661.00 ",
CT MANDIBLE WO W CONTRAST,"1,898.00 ",
CT MAXILLOFACIAL W CONTRAST,"1,703.00 ",
CT MAXILLOFACIAL W WO CONTRAST,"1,898.00 ",
CT MAXILLOFACIAL WO CONTRAST,"1,661.00 ",
CT NECK SOFT TISSUE W CONTRAST,"1,453.00 ",
CT NECK SOFT TISSUE W WO CONTRAST,"1,580.00 ",
CT NECK SOFT TISSUE WO CONTRAST,"1,235.00 ",
CT ORBIT W CONTRAST,"1,387.00 ",
CT ORBIT WO CONTRAST,"1,240.00 ",
CT ORBIT WO W CONTRAST,"1,682.00 ",
CT PANREAS BIOPSEY,"2,027.00 ",
CT PELVIS W CONTRAST,"2,045.00 ",
CT PELVIS W WO CONTRAST,"2,305.00 ",
CT PELVIS WO CONTRAST,"1,749.00 ",
CT PERCUTANEOUS DRAINAGE,647.00 ,
CT PLEURA NEEDLE BIOPSY,"2,027.00 ",
CT RENAL BIOPSEY,"2,027.00 ",
CT RENAL OR PELVIS CYST ASPIRATION NEEDL,"1,975.00 ",
CT SALIVARY GLAND BIOPSY,"1,301.00 ",
CT SHOULDER W CONTRAST LT,"1,976.00 ",
CT SHOULDER W CONTRAST RT,"1,976.00 ",
CT SHOULDER WO CONTRAST LT,"1,759.00 ",
CT SHOULDER WO CONTRAST RT,"1,759.00 ",
CT SHOULDER WO W CONTRAST LT,"2,206.00 ",
CT SHOULDER WO W CONTRAST RT,"2,206.00 ",
CT SINUS W CONTRAST,"1,703.00 ",
CT SINUS WO CONTRAST,"1,661.00 ",
CT SINUS WO W CONTRAST,"1,898.00 ",
CT TEMPORAL BONES W CONTRAST,"1,387.00 ",
CT TEMPORAL BONES WO CONTRAST,"1,240.00 ",
CT TEMPORAL BONES WO W CONTRAST,"1,682.00 ",
CT THORACENTESIS,919.00 ,
CT THORACIC SPINE W CONTRAST,"1,824.00 ",
CT THORACIC SPINE WO CONTRAST,"1,779.00 ",
CT THORACIC SPINE WO W CONTRAST,"1,892.00 ",
CT THORAX W CONTRAST,"2,046.00 ",
CT THORAX W WO CONTRAST,"2,302.00 ",
CT THORAX WO CONTRAST,"1,759.00 ",
CT UPPER EXTREMITY W CONTRAST BILATERAL,"3,951.00 ",
CT UPPER EXTREMITY W CONTRAST LT,"1,976.00 ",
CT UPPER EXTREMITY W CONTRAST RT,"1,976.00 ",
CT UPPER EXTREMITY WO CONTRAST BILATERAL,"3,513.00 ",
CT UPPER EXTREMITY WO CONTRAST LT,"1,759.00 ",
CT UPPER EXTREMITY WO CONTRAST RT,"1,759.00 ",
CT UPPER EXTREMITY WO W CONTRAST BILATER,"4,416.00 ",
CT UPPER EXTREMITY WO W CONTRAST LT,"2,206.00 ",
CT UPPER EXTREMITY WO W CONTRAST RT,"2,206.00 ",
CT VITREA WORKSTATION,"1,032.00 ",
CT WRIST W CONTRAST LT,"1,976.00 ",
CT WRIST W CONTRAST RT,"1,976.00 ",
CT WRIST WO CONTRAST LT,"1,759.00 ",
CT WRIST WO CONTRAST RT,"1,759.00 ",
CT WRIST WO W CONTRAST LT,"2,206.00 ",
CT WRIST WO W CONTRAST RT,"2,206.00 ",
CTA ABDOMEN PELVIS WO W CONTRAST,"3,546.00 ",
CTA ABDOMEN W WO CONTRAST,"2,122.00 ",
CTA ABDOMINAL AORTA WO W CONTRAST,"2,122.00 ",
CTA CHEST WO W CONTRAST,"2,122.00 ",
CTA HEAD W WO CONTRAST,"2,122.00 ",
CTA LOWER EXTREMITY WO W CONTRAST BILATE,"4,246.00 ",
CTA LOWER EXTREMITY WO W CONTRAST LT,"2,122.00 ",
CTA LOWER EXTREMITY WO W CONTRAST RT,"2,122.00 ",
CTA NECK WO W CONTRAST,"2,122.00 ",
CTA PELVIS W WO CONTRAST,"2,122.00 ",
CTA UPPER EXTREMITY WO W CONTRAST LT,"2,122.00 ",
CTA UPPER EXTREMITY WO W CONTRAST RT,"2,122.00 ",
MRA ABDOMEN W CONTRAST,"1,582.00 ",
MRA ABDOMEN WO CONTRAST,"1,432.00 ",
MRA ABDOMEN WO W CONTRAST,"2,015.00 ",
